"Refs","Value","Footprint","Qty","DNP"
"C5","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C6","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C7","1uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C8","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C9","1uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C10","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C11","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C12","1nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C13","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C14","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C15","4.7uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C16","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C17","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C18","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C19","10nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C20","1uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C21","10nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C22","4.7uF","Capacitor_SMD:C_1210_3225Metric","1",""
"C23","4.7uF","Capacitor_SMD:C_1210_3225Metric","1",""
"C24","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C25","1uF","Capacitor_SMD:C_1210_3225Metric","1",""
"C26","47nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C27","1uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C28","1uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C29","1uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C30","1uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C31","47nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C32","10nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C33","47nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C34","330p","Capacitor_SMD:C_0805_2012Metric","1",""
"C35","4.7uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C36","4.7uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C37","2.2nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C38","2.2nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C39","2.2nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C40","1nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C41","1uF","Capacitor_SMD:C_1206_3216Metric","1",""
"C42","1nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C43","1uF","Capacitor_SMD:C_1206_3216Metric","1",""
"C44","1nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C45","1uF","Capacitor_SMD:C_1206_3216Metric","1",""
"D1","PMEG4005CEJ","Diode_SMD:D_SOD-323F","1",""
"D2","PMEG4005CEJ","Diode_SMD:D_SOD-323F","1",""
"D3","LED","LED_SMD:LED_0805_2012Metric","1",""
"D4","LED","LED_SMD:LED_0805_2012Metric","1",""
"D5","PMEG4005CEJ","Diode_SMD:D_SOD-323F","1",""
"D6","SS110","Diode_SMD:D_SMA","1",""
"D7","LED","LED_SMD:LED_0805_2012Metric","1",""
"FB1","FerriteBead_Small","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","1",""
"FB2","FerriteBead_Small","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","1",""
"J1","Conn_01x01_Pin","Connector_Wire:SolderWirePad_1x01_SMD_2x4mm","1",""
"J2","Conn_01x01_Pin","Connector_Wire:SolderWirePad_1x01_SMD_2x4mm","1",""
"J3","KH-TYPE-C-16P","KH-TYPE-C-16P:KINGHELM_KH-TYPE-C-16P","1",""
"J4","Motor_Phase_A","Connector_Wire:SolderWirePad_1x01_SMD_5x10mm","1",""
"J5","Motor_Phase_B","Connector_Wire:SolderWirePad_1x01_SMD_5x10mm","1",""
